Timestamp,Object Class,Object Confidence,Bounding Box,Gesture Detected
1741366838.2648044,cell phone,0.48108378052711487,"[408,95,637,477]",No Gesture
1741366838.2648044,person,0.30937209725379944,"[92,201,349,479]",No Gesture
1741366838.2662947,chair,0.2727050185203552,"[0,0,423,479]",No Gesture
1741366838.614453,cell phone,0.5084995627403259,"[395,95,629,477]",No Gesture
1741366838.6154656,person,0.28178489208221436,"[88,200,350,479]",No Gesture
1741366838.6164699,chair,0.2697327136993408,"[0,0,425,479]",No Gesture
1741366838.9577386,cell phone,0.6717568635940552,"[397,95,629,477]",No Gesture
1741366838.958748,person,0.5120352506637573,"[92,202,355,479]",No Gesture
1741366838.958748,person,0.27478939294815063,"[11,1,639,480]",No Gesture
1741366838.9599774,chair,0.25888633728027344,"[0,0,425,479]",No Gesture
1741366839.3069797,cell phone,0.5337100625038147,"[395,93,637,476]",No Gesture
1741366839.308495,couch,0.3674026429653168,"[3,1,635,479]",No Gesture
1741366839.309497,chair,0.3051976263523102,"[1,0,418,479]",No Gesture
1741366839.6644056,cat,0.4570502042770386,"[96,196,353,362]",No Gesture
1741366839.6657047,laptop,0.37840986251831055,"[406,96,639,478]",No Gesture
1741366839.666714,chair,0.26063698530197144,"[0,0,425,477]",No Gesture
1741366840.0224366,person,0.40552377700805664,"[96,202,349,479]",No Gesture
1741366840.0234368,cat,0.3435717523097992,"[94,203,346,341]",No Gesture
1741366840.0234368,chair,0.32760336995124817,"[1,1,420,477]",No Gesture
1741366840.374202,cat,0.7527363896369934,"[89,205,370,479]",No Gesture
1741366840.3752048,chair,0.5903710126876831,"[1,0,419,480]",No Gesture
1741366840.709227,cat,0.6305234432220459,"[105,199,413,479]",No Gesture
1741366840.7103028,chair,0.34010353684425354,"[0,0,409,479]",No Gesture
1741366841.06269,cat,0.6833706498146057,"[109,201,413,479]",No Gesture
1741366841.063701,person,0.382208913564682,"[403,266,635,479]",No Gesture
1741366841.0647,chair,0.3229696750640869,"[1,0,413,479]",No Gesture
1741366841.396695,cat,0.45112344622612,"[45,205,342,479]",No Gesture
1741366841.396695,person,0.39455243945121765,"[406,266,637,479]",No Gesture
1741366841.3980563,person,0.31972792744636536,"[39,205,337,479]",No Gesture
1741366841.3989139,chair,0.262068510055542,"[1,0,419,478]",No Gesture
1741366841.7178333,person,0.6191686987876892,"[41,203,329,479]",No Gesture
1741366841.7193136,chair,0.3310064971446991,"[1,0,418,478]",No Gesture
1741366842.0642633,person,0.5122352838516235,"[4,200,330,479]",No Gesture
1741366842.4254112,person,0.3134361207485199,"[27,208,323,479]",No Gesture
1741366842.42677,person,0.2511692941188812,"[99,328,320,479]",No Gesture
1741366843.7924948,cat,0.31164300441741943,"[61,202,320,346]",No Gesture
1741366844.1190865,person,0.3817689120769501,"[58,208,326,479]",Fist Detected
1741366844.1205814,person,0.34221598505973816,"[7,0,628,478]",Fist Detected
